video,Sentiment Score,Classification,IP,Label
video20,0.925,Game Requirement,Beijing,Highly Positive
video80,0.75,Social Interaction,Jiangsu,Positive
video89,0.925,Social Interaction,Guizhou,Highly Positive
video59,0.5,Social Interaction,Fujian,Neutral
video49,0.85,Social Interaction,Guangdong,Highly Positive
video22,0.85,Audience Anticipation,Jiangsu,Highly Positive
video59,0.75,Game Experience,Henan,Positive
video21,0.85,Audience Reaction,Shanghai,Highly Positive
video81,0.65,Audience Anticipation,Henan,Positive
video56,0.5,Social Interaction,Shanxi,Neutral
video1,0.75,Game Plot,Anhui,Positive
video47,0.925,Game Experience,Hubei,Highly Positive
video60,0.5,Audience Reaction,Beijing,Neutral
video20,0.85,Information Share,Beijing,Highly Positive
video59,0.65,Social Interaction,Liaoning,Positive
video49,0.85,Audience Reaction,Zhejiang,Highly Positive
video76,0.456,Game Experience,Yunnan,Neutral
video80,0.95,Audience Reaction,Hubei,Highly Positive
video6,0.5,Social Interaction,Sichuan,Neutral
video80,0.95,Audience Reaction,Sichuan,Highly Positive
video60,0.456,Game Plot,Anhui,Neutral
video50,0.85,Audience Anticipation,Sichuan,Highly Positive
video76,0.5,Game Requirement,Chongqing,Neutral
video80,0.925,Information Share,Shandong,Highly Positive
video50,0.25,Game Experience,Tianjin,Negative
video41,0.75,Audience Reaction,Hebei,Positive
video22,0.75,Audience Feedback,Liaoning,Positive
video46,0.35,Audience Reaction,Sichuan,Negative
video6,0.5,Social Interaction,Zhejiang,Neutral
video80,0.45,Social Interaction,Shanxi,Neutral
video41,0.85,Audience Reaction,Shandong,Highly Positive
video21,0.925,Audience Anticipation,Hebei,Highly Positive
video41,0.5,Game Plot,Fujian,Neutral
video60,0.25,Audience Feedback,Hebei,Negative
video47,0.95,Social Interaction,Jiangsu,Highly Positive
video59,0.95,Game Design,Jiangsu,Highly Positive
video6,0.95,Social Interaction,Anhui,Highly Positive
video60,0.75,Game Plot,Jiangsu,Positive
video14,0.85,Audience Reaction,Hunan,Highly Positive
