video,Sentiment Score,C-Label,IP,S-Label
video6,0.35,Social Interaction,Sichuan,Negative
video22,0.654,Audience Feedback,Guangdong,Positive
video82,0.5,Social Interaction,Anhui,Neutral
video17,0.925,Audience Reaction,Guangdong,Highly Positive
video26,0.5,Social Interaction,Guangdong,Neutral
video6,0.5,Social Interaction,Fujian,Neutral
video59,0.85,Game Plot,Shaanxi,Highly Positive
video76,0.5,Progress and Updates,Henan,Neutral
video56,0.75,Social Interaction,Fujian,Positive
video6,0.925,Social Interaction,Chongqing,Highly Positive
video75,0.5,Audience Reaction,Unknown,Neutral
video6,0.5,Audience Reaction,Liaoning,Neutral
video5,0.25,Game Experience,Guangdong,Negative
video6,0.925,Audience Reaction,Hubei,Highly Positive
video86,0.85,Game Design,Jiangsu,Highly Positive
video46,0.75,Game Plot,Shandong,Positive
video59,0.65,Audience Reaction,Sichuan,Positive
video4,0.95,Social Interaction,Zhejiang,Highly Positive
video41,0.85,Social Interaction,Yunnan,Highly Positive
video47,0.5,Social Interaction,Sichuan,Neutral
video41,0.5,Social Interaction,Tianjin,Neutral
video1,0.925,Social Interaction,Anhui,Highly Positive
video54,0.75,Progress and Updates,Sichuan,Positive
video80,0.357,Game Experience,Guangdong,Negative
video15,0.85,Social Interaction,Guangdong,Highly Positive
video80,0.35,Game Requirement,Zhejiang,Negative
video6,0.652,Game Experience,Sichuan,Positive
video56,0.5,Social Interaction,Shandong,Neutral
video76,0.25,Game Experience,Guangdong,Negative
video6,0.5,Social Interaction,Jiangsu,Neutral
video17,0.95,Audience Reaction,Beijing,Highly Positive
video6,0.5,Social Interaction,Chongqing,Neutral
video47,0.85,Social Interaction,Guangdong,Highly Positive
video55,0.15,Social Interaction,Beijing,Highly Negative
video6,0.5,Social Interaction,Guangdong,Neutral
video70,0.43,Audience Reaction,Hubei,Neutral
video60,0.45,Audience Reaction,Shanghai,Neutral
video6,0.5,Social Interaction,Hainan,Neutral
video6,0.75,Audience Reaction,Henan,Positive
video1,0.235,Audience Reaction,Guangdong,Negative
video21,0.85,Game Plot,Hunan,Highly Positive
video46,0.925,Game Plot,Guangdong,Highly Positive
video28,0.75,Audience Reaction,Henan,Positive
video67,0.5,Game Experience,Sichuan,Neutral
video83,0.0,Progress and Updates,Liaoning,Highly Negative
video56,0.5,Social Interaction,Hebei,Neutral
video67,0.75,Game Plot,Henan,Positive
video56,0.45,Social Interaction,Jiangsu,Neutral
video6,0.95,Progress and Updates,Guangdong,Highly Positive
video6,0.5,Social Interaction,Hubei,Neutral
video59,0.85,Game Plot,Tianjin,Highly Positive
video1,0.95,Social Interaction,Gansu,Highly Positive
video56,0.75,Social Interaction,Sichuan,Positive
video81,0.5,Social Interaction,Fujian,Neutral
video49,0.75,Social Interaction,Anhui,Positive
video55,0.15,Social Interaction,Hebei,Highly Negative
video6,0.75,Social Interaction,Inner Mongolia,Positive
video14,0.925,Audience Reaction,Beijing,Highly Positive
video82,0.925,Social Interaction,Sichuan,Highly Positive
video24,0.5,Social Interaction,Anhui,Neutral
video14,0.75,Social Interaction,Sichuan,Positive
video80,0.85,Audience Reaction,Guangdong,Highly Positive
video58,0.925,Game Design,Chongqing,Highly Positive
video28,0.75,Progress and Updates,Jiangsu,Positive
video56,0.925,Game Experience,Henan,Highly Positive
video6,0.5,Social Interaction,Fujian,Neutral
video88,0.75,Game Experience,Shanghai,Positive
