video,Sentiment Score,Classification,Label
video61,0.75,Audience Feedback,Positive
video82,0.5,Social Interaction,Neutral
video85,0.5,Audience Reaction,Neutral
video25,0.925,Audience Reaction,Highly Positive
video72,0.925,Information Share,Highly Positive
video82,0.5,Social Interaction,Neutral
video82,0.5,Game Design,Neutral
video92,0.75,Social Interaction,Positive
video114,0.85,Audience Anticipation,Highly Positive
video82,0.5,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video20,0.25,Game Experience,Negative
video82,0.5,Audience Reaction,Neutral
video25,0.5,Audience Feedback,Neutral
video82,0.75,Audience Reaction,Positive
video82,0.75,Game Plot,Positive
video4,0.25,Game Experience,Negative
video82,0.75,Information Share,Positive
video82,0.75,Audience Reaction,Positive
video82,0.65,Social Interaction,Positive
video34,0.5,Social Interaction,Neutral
video48,0.95,Audience Anticipation,Highly Positive
video107,0.75,Game Design,Positive
video7,0.5,Social Interaction,Neutral
video19,0.45,Game Design,Neutral
video23,0.75,Game Design,Positive
video40,0.35,Social Interaction,Negative
video3,0.85,Audience Reaction,Highly Positive
video48,0.55,Audience Reaction,Neutral
video82,0.5,Audience Anticipation,Neutral
video13,0.65,Game Requirement,Positive
video8,0.25,Audience Reaction,Negative
video3,0.925,Social Interaction,Highly Positive
video37,0.35,Social Interaction,Negative
video82,0.75,Game Design,Positive
video82,0.25,Audience Anticipation,Negative
video4,0.45,Game Experience,Neutral
video106,0.5,Information Share,Neutral
video82,0.5,Audience Reaction,Neutral
video47,0.5,Audience Anticipation,Neutral
video100,0.15,Audience Reaction,Highly Negative
video9,0.85,Progress and Updates,Highly Positive
video2,0.5,Game Plot,Neutral
video60,0.652,Audience Reaction,Positive
video121,0.75,Audience Reaction,Positive
video24,0.15,Audience Reaction,Highly Negative
video47,0.5,Social Interaction,Neutral
video3,0.85,Game Experience,Highly Positive
video117,0.85,Audience Reaction,Highly Positive
video2,0.45,Social Interaction,Neutral
video106,0.85,Social Interaction,Highly Positive
video82,0.654,Game Experience,Positive
video82,0.85,Audience Reaction,Highly Positive
video121,0.85,Audience Reaction,Highly Positive
video82,0.25,Audience Feedback,Negative
video59,0.456,Game Plot,Neutral
video51,0.35,Audience Feedback,Negative
video54,0.25,Game Experience,Negative
video54,0.75,Game Design,Positive
video119,0.5,Audience Anticipation,Neutral
video16,0.85,Game Design,Highly Positive
video82,0.15,Audience Reaction,Highly Negative
video98,0.652,Game Experience,Positive
video2,0.5,Audience Feedback,Neutral
video16,0.25,Audience Reaction,Negative
video33,0.85,Information Share,Highly Positive
video3,0.35,Social Interaction,Negative
video82,0.5,Audience Anticipation,Neutral
video23,0.925,Audience Reaction,Highly Positive
video2,0.925,Audience Reaction,Highly Positive
video31,0.85,Game Experience,Highly Positive
video82,0.25,Social Interaction,Negative
video82,0.25,Game Design,Negative
video91,0.85,Game Experience,Highly Positive
video2,0.25,Audience Reaction,Negative
