video,Sentiment Score,C-Label,S-Label
video97,0.65,Game Design,Positive
video75,0.652,Social Interaction,Positive
video53,0.0,Social Interaction,Highly Negative
video82,0.5,Audience Reaction,Neutral
video75,0.75,Game Design,Positive
video12,0.5,Audience Reaction,Neutral
video51,0.5,Social Interaction,Neutral
video82,0.75,Game Experience,Positive
video3,0.925,Audience Reaction,Highly Positive
video66,0.5,Game Design,Neutral
video9,0.25,Audience Reaction,Negative
video117,0.5,Social Interaction,Neutral
video66,0.925,Game Design,Highly Positive
video82,0.5,Social Interaction,Neutral
video4,0.5,Game Design,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.25,Audience Feedback,Negative
video60,0.65,Game Experience,Positive
video82,0.5,Social Interaction,Neutral
video84,0.45,Audience Reaction,Neutral
video41,0.5,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video44,0.75,Audience Reaction,Positive
video104,0.35,Social Interaction,Negative
video82,0.85,Audience Reaction,Highly Positive
video21,0.85,Social Interaction,Highly Positive
video82,0.456,Audience Reaction,Neutral
video47,0.75,Audience Reaction,Positive
video111,0.15,Audience Feedback,Highly Negative
video38,0.925,Audience Reaction,Highly Positive
video4,0.5,Game Plot,Neutral
video54,0.75,Game Design,Positive
video61,0.85,Social Interaction,Highly Positive
video60,0.25,Audience Feedback,Negative
video16,1.0,Audience Reaction,Highly Positive
video77,0.85,Audience Reaction,Highly Positive
video82,0.75,Audience Reaction,Positive
video2,0.85,Information Share,Highly Positive
video42,0.95,Audience Reaction,Highly Positive
video111,0.925,Audience Reaction,Highly Positive
video82,0.5,Social Interaction,Neutral
video23,0.75,Game Design,Positive
video111,0.5,Social Interaction,Neutral
video3,0.85,Game Design,Highly Positive
video2,0.5,Social Interaction,Neutral
video92,0.35,Game Plot,Negative
video82,0.25,Audience Reaction,Negative
video82,0.5,Social Interaction,Neutral
video80,0.25,Audience Feedback,Negative
video23,0.85,Audience Reaction,Highly Positive
video102,0.75,Social Interaction,Positive
video82,0.5,Game Plot,Neutral
video82,0.5,Audience Reaction,Neutral
video3,0.0,Game Design,Highly Negative
video3,0.85,Social Interaction,Highly Positive
video82,0.852,Audience Anticipation,Highly Positive
video82,0.75,Game Design,Positive
video82,0.451,Audience Reaction,Neutral
video2,0.35,Progress and Updates,Negative
video23,0.25,Audience Reaction,Negative
video82,0.5,Social Interaction,Neutral
video41,0.95,Social Interaction,Highly Positive
video23,0.5,Audience Anticipation,Neutral
video3,0.85,Audience Anticipation,Highly Positive
video67,0.75,Game Plot,Positive
video82,0.5,Game Design,Neutral
video82,0.25,Game Design,Negative
video47,0.5,Audience Reaction,Neutral
video82,0.75,Social Interaction,Positive
video59,0.5,Audience Anticipation,Neutral
video2,0.65,Audience Reaction,Positive
video8,0.35,Game Experience,Negative
video82,0.75,Game Experience,Positive
video8,0.925,Game Design,Highly Positive
video14,0.2,Social Interaction,Negative
video23,0.5,Social Interaction,Neutral
video82,0.5,Game Plot,Neutral
video3,0.75,Audience Reaction,Positive
video121,0.65,Game Design,Positive
video46,0.95,Game Design,Highly Positive
video75,0.5,Social Interaction,Neutral
video82,0.75,Audience Anticipation,Positive
video50,0.85,Audience Feedback,Highly Positive
video38,0.15,Audience Reaction,Highly Negative
video82,0.5,Social Interaction,Neutral
video20,0.75,Audience Reaction,Positive
video100,0.25,Game Design,Negative
video82,0.5,Social Interaction,Neutral
video3,0.45,Audience Reaction,Neutral
video47,0.45,Audience Reaction,Neutral
video48,0.925,Audience Anticipation,Highly Positive
video4,0.65,Audience Reaction,Positive
video2,0.95,Audience Anticipation,Highly Positive
video82,0.5,Social Interaction,Neutral
video43,0.85,Game Requirement,Highly Positive
video117,0.85,Audience Reaction,Highly Positive
video55,0.925,Audience Reaction,Highly Positive
video5,0.0,Audience Reaction,Highly Negative
video25,0.75,Social Interaction,Positive
video3,0.5,Information Share,Neutral
video41,0.925,Audience Anticipation,Highly Positive
video2,0.25,Audience Reaction,Negative
video3,0.5,Information Share,Neutral
video3,0.5,Social Interaction,Neutral
video92,0.25,Audience Reaction,Negative
video113,0.925,Audience Reaction,Highly Positive
video51,0.45,Social Interaction,Neutral
video41,0.95,Audience Reaction,Highly Positive
video107,0.45,Social Interaction,Neutral
video4,0.75,Game Design,Positive
video71,0.75,Audience Reaction,Positive
video8,0.75,Game Design,Positive
video39,0.95,Audience Reaction,Highly Positive
video3,0.5,Information Share,Neutral
video82,0.25,Game Design,Negative
video17,0.925,Social Interaction,Highly Positive
video106,0.5,Social Interaction,Neutral
video23,0.25,Social Interaction,Negative
video13,0.95,Audience Reaction,Highly Positive
video82,0.25,Audience Reaction,Negative
video92,0.85,Game Plot,Highly Positive
video10,0.456,Audience Reaction,Neutral
video8,0.85,Social Interaction,Highly Positive
video97,0.65,Game Design,Positive
video47,0.85,Audience Reaction,Highly Positive
video59,0.925,Audience Reaction,Highly Positive
video81,0.85,Game Plot,Highly Positive
video81,0.75,Audience Reaction,Positive
video60,0.456,Game Experience,Neutral
video47,0.65,Game Experience,Positive
video82,0.25,Game Experience,Negative
video78,0.925,Audience Reaction,Highly Positive
video55,0.55,Audience Reaction,Neutral
video16,0.925,Game Plot,Highly Positive
video82,0.65,Audience Reaction,Positive
video113,0.75,Audience Anticipation,Positive
video3,0.45,Audience Reaction,Neutral
video81,0.456,Game Experience,Neutral
video2,0.65,Audience Feedback,Positive
video85,0.75,Game Design,Positive
video92,0.5,Game Plot,Neutral
video3,0.925,Social Interaction,Highly Positive
video60,0.5,Game Design,Neutral
video47,0.35,Game Experience,Negative
video15,0.75,Game Design,Positive
video83,0.75,Game Plot,Positive
video64,0.75,Game Design,Positive
video82,0.5,Audience Anticipation,Neutral
video82,0.5,Game Design,Neutral
video5,0.5,Audience Reaction,Neutral
video3,0.95,Game Design,Highly Positive
video92,0.85,Audience Reaction,Highly Positive
video62,0.85,Audience Anticipation,Highly Positive
video2,0.85,Audience Reaction,Highly Positive
video82,0.5,Audience Reaction,Neutral
video82,0.25,Game Design,Negative
video82,0.65,Audience Reaction,Positive
video82,0.5,Audience Feedback,Neutral
video117,0.5,Game Design,Neutral
video82,0.5,Social Interaction,Neutral
video4,0.85,Social Interaction,Highly Positive
video82,0.5,Audience Reaction,Neutral
video82,0.925,Game Design,Highly Positive
video8,0.65,Audience Feedback,Positive
video42,0.5,Game Design,Neutral
video23,0.888,Audience Anticipation,Highly Positive
video89,0.85,Social Interaction,Highly Positive
video82,0.5,Game Design,Neutral
video117,0.25,Game Design,Negative
video21,0.75,Social Interaction,Positive
video16,0.25,Social Interaction,Negative
video82,0.5,Audience Reaction,Neutral
video38,0.15,Audience Reaction,Highly Negative
video82,0.5,Social Interaction,Neutral
video3,0.75,Audience Reaction,Positive
video59,0.25,Audience Reaction,Negative
video23,0.75,Audience Reaction,Positive
video98,0.5,Social Interaction,Neutral
video82,0.5,Audience Anticipation,Neutral
video93,0.5,Information Share,Neutral
video82,0.5,Social Interaction,Neutral
video59,0.75,Game Plot,Positive
video6,0.5,Game Design,Neutral
video3,0.35,Audience Anticipation,Negative
video48,0.357,Game Experience,Negative
video4,0.5,Audience Reaction,Neutral
video16,0.75,Social Interaction,Positive
video82,0.5,Social Interaction,Neutral
video50,0.45,Audience Reaction,Neutral
video92,0.5,Game Experience,Neutral
video59,0.5,Information Share,Neutral
video82,0.45,Audience Feedback,Neutral
video9,0.352,Audience Feedback,Negative
video8,0.75,Audience Anticipation,Positive
video6,0.85,Game Plot,Highly Positive
video4,0.85,Audience Reaction,Highly Positive
video104,0.85,Information Share,Highly Positive
video3,0.5,Social Interaction,Neutral
video54,0.75,Audience Reaction,Positive
video106,0.95,Audience Reaction,Highly Positive
video48,0.25,Audience Reaction,Negative
video25,0.5,Social Interaction,Neutral
video104,0.5,Game Design,Neutral
video85,0.352,Game Experience,Negative
video82,0.852,Game Plot,Highly Positive
video84,0.65,Social Interaction,Positive
video3,0.925,Audience Reaction,Highly Positive
video45,0.95,Social Interaction,Highly Positive
video82,0.5,Audience Reaction,Neutral
video82,0.85,Social Interaction,Highly Positive
video115,0.5,Game Design,Neutral
video56,0.25,Audience Feedback,Negative
video82,0.5,Social Interaction,Neutral
video2,0.75,Game Plot,Positive
video82,0.25,Social Interaction,Negative
video90,0.999,Social Interaction,Highly Positive
video82,0.65,Audience Reaction,Positive
video82,0.5,Social Interaction,Neutral
video8,0.45,Social Interaction,Neutral
video82,0.25,Audience Reaction,Negative
video93,0.5,Game Experience,Neutral
video85,0.456,Game Plot,Neutral
video82,0.5,Social Interaction,Neutral
video50,0.45,Game Requirement,Neutral
video82,0.25,Audience Anticipation,Negative
video8,0.35,Audience Feedback,Negative
video82,0.5,Game Requirement,Neutral
video82,0.654,Game Plot,Positive
video54,0.5,Social Interaction,Neutral
video82,0.5,Audience Anticipation,Neutral
video82,0.75,Audience Reaction,Positive
video47,0.5,Social Interaction,Neutral
video82,0.5,Game Design,Neutral
video51,0.925,Audience Reaction,Highly Positive
video85,0.456,Social Interaction,Neutral
video60,0.25,Audience Feedback,Negative
video3,0.5,Social Interaction,Neutral
video3,0.95,Audience Reaction,Highly Positive
video25,0.5,Game Experience,Neutral
video82,0.5,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video62,0.25,Audience Feedback,Negative
video59,0.852,Audience Reaction,Highly Positive
video39,0.5,Progress and Updates,Neutral
video60,0.85,Audience Reaction,Highly Positive
video98,0.456,Audience Reaction,Neutral
video50,0.5,Social Interaction,Neutral
video80,0.925,Audience Anticipation,Highly Positive
video71,0.15,Audience Reaction,Highly Negative
video13,0.925,Audience Anticipation,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video3,0.25,Audience Feedback,Negative
video41,0.95,Audience Reaction,Highly Positive
video82,0.25,Audience Reaction,Negative
video82,0.5,Social Interaction,Neutral
video54,0.5,Information Share,Neutral
video59,0.85,Game Plot,Highly Positive
video82,0.5,Game Design,Neutral
video55,0.5,Social Interaction,Neutral
video58,0.25,Game Design,Negative
video6,0.85,Game Design,Highly Positive
video82,0.75,Audience Reaction,Positive
video47,0.357,Game Experience,Negative
video23,0.5,Social Interaction,Neutral
video121,0.95,Audience Anticipation,Highly Positive
video16,0.5,Social Interaction,Neutral
video2,0.75,Information Share,Positive
video82,0.654,Game Plot,Positive
video15,0.95,Audience Reaction,Highly Positive
video3,0.925,Game Plot,Highly Positive
video54,0.5,Social Interaction,Neutral
video4,0.45,Audience Reaction,Neutral
video4,0.85,Social Interaction,Highly Positive
video82,0.35,Game Experience,Negative
video109,0.85,Audience Reaction,Highly Positive
video9,0.75,Social Interaction,Positive
video92,0.5,Social Interaction,Neutral
video81,0.85,Audience Reaction,Highly Positive
video3,0.75,Game Design,Positive
video42,0.95,Audience Reaction,Highly Positive
video85,0.5,Game Plot,Neutral
video117,0.852,Game Design,Highly Positive
video85,0.35,Audience Feedback,Negative
video114,0.35,Audience Reaction,Negative
video82,0.357,Game Plot,Negative
video19,0.925,Audience Reaction,Highly Positive
video51,0.925,Information Share,Highly Positive
video82,0.753,Social Interaction,Positive
video62,0.5,Game Plot,Neutral
video46,0.75,Audience Anticipation,Positive
video48,0.35,Game Design,Negative
video8,0.75,Game Requirement,Positive
video100,0.0,Audience Reaction,Highly Negative
video92,0.75,Audience Feedback,Positive
video37,0.95,Audience Reaction,Highly Positive
video4,0.5,Audience Reaction,Neutral
video8,0.95,Audience Reaction,Highly Positive
video13,1.0,Audience Feedback,Highly Positive
video112,0.85,Social Interaction,Highly Positive
video59,0.5,Game Plot,Neutral
video3,0.85,Game Design,Highly Positive
video2,0.5,Social Interaction,Neutral
video82,0.5,Audience Anticipation,Neutral
video121,0.5,Social Interaction,Neutral
video82,0.5,Social Interaction,Neutral
video85,0.5,Game Experience,Neutral
video82,0.5,Audience Anticipation,Neutral
video82,0.65,Audience Reaction,Positive
video82,0.5,Game Plot,Neutral
video47,0.925,Audience Reaction,Highly Positive
video106,0.75,Audience Reaction,Positive
video47,0.15,Game Experience,Highly Negative
video11,0.5,Information Share,Neutral
video3,0.25,Audience Feedback,Negative
video24,0.925,Audience Feedback,Highly Positive
video5,0.5,Game Design,Neutral
video55,0.925,Game Design,Highly Positive
video82,0.25,Social Interaction,Negative
video24,0.15,Audience Reaction,Highly Negative
video3,0.95,Social Interaction,Highly Positive
video93,0.15,Audience Reaction,Highly Negative
video82,0.5,Social Interaction,Neutral
video48,0.25,Game Experience,Negative
video82,0.15,Audience Reaction,Highly Negative
video82,0.5,Game Experience,Neutral
video47,0.5,Audience Anticipation,Neutral
video102,0.35,Audience Reaction,Negative
video3,0.5,Audience Anticipation,Neutral
video101,0.25,Social Interaction,Negative
video16,0.95,Audience Reaction,Highly Positive
video2,0.65,Social Interaction,Positive
video51,0.5,Audience Reaction,Neutral
video82,0.5,Audience Anticipation,Neutral
video50,0.75,Audience Reaction,Positive
video2,0.85,Game Plot,Highly Positive
video3,0.5,Social Interaction,Neutral
video82,0.5,Audience Reaction,Neutral
video47,0.357,Audience Reaction,Negative
video9,0.85,Game Requirement,Highly Positive
video75,0.5,Social Interaction,Neutral
video47,0.675,Game Experience,Positive
video45,0.85,Social Interaction,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video82,0.65,Social Interaction,Positive
video4,0.85,Audience Reaction,Highly Positive
video82,0.25,Audience Reaction,Negative
video82,0.25,Audience Reaction,Negative
video82,0.5,Audience Reaction,Neutral
video114,0.25,Audience Feedback,Negative
video54,0.925,Audience Anticipation,Highly Positive
video82,0.5,Audience Anticipation,Neutral
video75,0.75,Game Plot,Positive
video76,0.25,Audience Reaction,Negative
video82,0.5,Audience Anticipation,Neutral
video76,0.15,Game Design,Highly Negative
video8,0.85,Game Design,Highly Positive
video21,0.75,Social Interaction,Positive
video4,0.5,Audience Anticipation,Neutral
